set_nice: pid = 62235, old_priority = 0, new_priority = -20
total_linked_list_nodes:16/16, mem_size:1024B, averageAccessTime:2.75 cycles, median:4 cycles
total_linked_list_nodes:32/32, mem_size:2048B, averageAccessTime:2.50 cycles, median:4 cycles
total_linked_list_nodes:48/48, mem_size:3072B, averageAccessTime:2.17 cycles, median:0 cycles
total_linked_list_nodes:64/64, mem_size:4096B, averageAccessTime:2.31 cycles, median:4 cycles
total_linked_list_nodes:80/80, mem_size:5120B, averageAccessTime:1.60 cycles, median:0 cycles
total_linked_list_nodes:96/96, mem_size:6144B, averageAccessTime:2.04 cycles, median:4 cycles
total_linked_list_nodes:112/112, mem_size:7168B, averageAccessTime:2.04 cycles, median:4 cycles
total_linked_list_nodes:128/128, mem_size:8192B, averageAccessTime:2.03 cycles, median:0 cycles
total_linked_list_nodes:144/144, mem_size:9216B, averageAccessTime:2.00 cycles, median:4 cycles
total_linked_list_nodes:160/160, mem_size:10240B, averageAccessTime:1.98 cycles, median:0 cycles
total_linked_list_nodes:176/176, mem_size:11264B, averageAccessTime:2.00 cycles, median:4 cycles
total_linked_list_nodes:192/192, mem_size:12288B, averageAccessTime:1.96 cycles, median:0 cycles
total_linked_list_nodes:208/208, mem_size:13312B, averageAccessTime:2.02 cycles, median:4 cycles
total_linked_list_nodes:224/224, mem_size:14336B, averageAccessTime:2.11 cycles, median:4 cycles
total_linked_list_nodes:240/240, mem_size:15360B, averageAccessTime:2.07 cycles, median:4 cycles
total_linked_list_nodes:256/256, mem_size:16384B, averageAccessTime:2.12 cycles, median:4 cycles
total_linked_list_nodes:272/272, mem_size:17408B, averageAccessTime:1.97 cycles, median:0 cycles
total_linked_list_nodes:288/288, mem_size:18432B, averageAccessTime:1.93 cycles, median:0 cycles
total_linked_list_nodes:304/304, mem_size:19456B, averageAccessTime:1.87 cycles, median:0 cycles
total_linked_list_nodes:320/320, mem_size:20480B, averageAccessTime:1.94 cycles, median:0 cycles
total_linked_list_nodes:336/336, mem_size:21504B, averageAccessTime:2.33 cycles, median:4 cycles
total_linked_list_nodes:352/352, mem_size:22528B, averageAccessTime:2.00 cycles, median:4 cycles
total_linked_list_nodes:368/368, mem_size:23552B, averageAccessTime:2.03 cycles, median:4 cycles
total_linked_list_nodes:384/384, mem_size:24576B, averageAccessTime:1.97 cycles, median:0 cycles
total_linked_list_nodes:400/400, mem_size:25600B, averageAccessTime:2.08 cycles, median:4 cycles
total_linked_list_nodes:416/416, mem_size:26624B, averageAccessTime:2.18 cycles, median:4 cycles
total_linked_list_nodes:432/432, mem_size:27648B, averageAccessTime:2.40 cycles, median:4 cycles
total_linked_list_nodes:448/448, mem_size:28672B, averageAccessTime:2.21 cycles, median:4 cycles
total_linked_list_nodes:464/464, mem_size:29696B, averageAccessTime:2.33 cycles, median:4 cycles
total_linked_list_nodes:480/480, mem_size:30720B, averageAccessTime:2.60 cycles, median:4 cycles
total_linked_list_nodes:496/496, mem_size:31744B, averageAccessTime:3.25 cycles, median:4 cycles
total_linked_list_nodes:512/512, mem_size:32768B, averageAccessTime:6.09 cycles, median:4 cycles
total_linked_list_nodes:768/768, mem_size:49152B, averageAccessTime:4.95 cycles, median:4 cycles
total_linked_list_nodes:1024/1024, mem_size:65536B, averageAccessTime:4.94 cycles, median:4 cycles
total_linked_list_nodes:1280/1280, mem_size:81920B, averageAccessTime:3.99 cycles, median:4 cycles
total_linked_list_nodes:1536/1536, mem_size:98304B, averageAccessTime:4.92 cycles, median:4 cycles
total_linked_list_nodes:1792/1792, mem_size:114688B, averageAccessTime:5.39 cycles, median:4 cycles
total_linked_list_nodes:2048/2048, mem_size:131072B, averageAccessTime:50.07 cycles, median:4 cycles
total_linked_list_nodes:3072/3072, mem_size:196608B, averageAccessTime:8.98 cycles, median:4 cycles
total_linked_list_nodes:4096/4096, mem_size:262144B, averageAccessTime:16.11 cycles, median:12 cycles
total_linked_list_nodes:5120/5120, mem_size:327680B, averageAccessTime:22.14 cycles, median:28 cycles
total_linked_list_nodes:6144/6144, mem_size:393216B, averageAccessTime:22.47 cycles, median:28 cycles
total_linked_list_nodes:7168/7168, mem_size:458752B, averageAccessTime:24.64 cycles, median:28 cycles
total_linked_list_nodes:8192/8192, mem_size:524288B, averageAccessTime:27.01 cycles, median:28 cycles
total_linked_list_nodes:16384/16384, mem_size:1048576B, averageAccessTime:130.66 cycles, median:180 cycles
total_linked_list_nodes:32768/32768, mem_size:2097152B, averageAccessTime:267.52 cycles, median:188 cycles
total_linked_list_nodes:49152/49152, mem_size:3145728B, averageAccessTime:127.75 cycles, median:180 cycles
total_linked_list_nodes:65536/65536, mem_size:4194304B, averageAccessTime:181.72 cycles, median:188 cycles
total_linked_list_nodes:81920/81920, mem_size:5242880B, averageAccessTime:202.30 cycles, median:188 cycles
total_linked_list_nodes:98304/98304, mem_size:6291456B, averageAccessTime:316.24 cycles, median:192 cycles
total_linked_list_nodes:114688/114688, mem_size:7340032B, averageAccessTime:579.67 cycles, median:228 cycles
total_linked_list_nodes:131072/131072, mem_size:8388608B, averageAccessTime:225.70 cycles, median:188 cycles
total_linked_list_nodes:147456/147456, mem_size:9437184B, averageAccessTime:223.27 cycles, median:188 cycles
total_linked_list_nodes:163840/163840, mem_size:10485760B, averageAccessTime:217.24 cycles, median:192 cycles
total_linked_list_nodes:180224/180224, mem_size:11534336B, averageAccessTime:236.88 cycles, median:192 cycles
total_linked_list_nodes:196608/196608, mem_size:12582912B, averageAccessTime:218.00 cycles, median:196 cycles
total_linked_list_nodes:212992/212992, mem_size:13631488B, averageAccessTime:217.77 cycles, median:196 cycles
total_linked_list_nodes:229376/229376, mem_size:14680064B, averageAccessTime:258.93 cycles, median:196 cycles
total_linked_list_nodes:245760/245760, mem_size:15728640B, averageAccessTime:219.51 cycles, median:200 cycles
total_linked_list_nodes:262144/262144, mem_size:16777216B, averageAccessTime:260.33 cycles, median:200 cycles
total_linked_list_nodes:278528/278528, mem_size:17825792B, averageAccessTime:231.98 cycles, median:200 cycles
total_linked_list_nodes:294912/294912, mem_size:18874368B, averageAccessTime:231.50 cycles, median:200 cycles
total_linked_list_nodes:311296/311296, mem_size:19922944B, averageAccessTime:262.30 cycles, median:200 cycles
